theta	r	Dr	x	z	weight
0.0257646	0.00999999	-4.54672e-05	4.49676e-06	-0.00999999	0.00115396
0.135724	0.00999972	-0.000239495	2.36877e-05	-0.00999969	0.00268511
0.333438	0.00999829	-0.00058811	5.81856e-05	-0.00999812	0.0042159
0.618756	0.00999411	-0.00108992	0.000107928	-0.00999353	0.00574277
0.991404	0.0099849	-0.00174129	0.000172763	-0.0099834	0.00726407
1.45102	0.00996774	-0.00253486	0.000252407	-0.00996454	0.00877828
1.99716	0.00993916	-0.00345769	0.000346379	-0.00993312	0.0102839
2.62928	0.00989528	-0.00448939	0.000453931	-0.00988486	0.0117795
3.34677	0.00983203	-0.00560072	0.000573984	-0.00981526	0.0132636
4.14893	0.00974543	-0.006753	0.000705074	-0.00971989	0.0147347
5.03497	0.00963196	-0.00789913	0.000845337	-0.00959479	0.0161915
6.00403	0.00948891	-0.00898638	0.000992526	-0.00943686	0.0176324
7.05516	0.00931478	-0.009961	0.00114409	-0.00924426	0.019056
8.18734	0.00910952	-0.010774	0.00129729	-0.00901668	0.0204611
9.39945	0.00887466	-0.0113871	0.00144938	-0.00875551	0.0218462
10.6903	0.00861324	-0.0117772	0.00159776	-0.00846375	0.0232099
12.0587	0.00832958	-0.0119384	0.00174016	-0.00814578	0.024551
13.5032	0.00802888	-0.0118816	0.00187474	-0.00780694	0.025868
15.0225	0.00771678	-0.0116315	0.00200017	-0.00745305	0.0271598
16.615	0.0073989	-0.0112215	0.00211563	-0.00708998	0.028425
18.2792	0.00708049	-0.0106892	0.00222078	-0.00672321	0.0296625
20.0135	0.00676618	-0.0100719	0.00231567	-0.00635758	0.030871
21.8162	0.00645977	-0.00940346	0.00240065	-0.00599713	0.0320493
23.6855	0.00616429	-0.00871266	0.00247629	-0.00564504	0.0331963
25.6196	0.00588193	-0.00802218	0.00254331	-0.00530365	0.0343109
27.6166	0.00561418	-0.00734895	0.00260247	-0.00497456	0.035392
29.6745	0.00536195	-0.00670473	0.00265455	-0.00465874	0.0364384
31.7914	0.00512563	-0.00609697	0.00270033	-0.00435664	0.0374493
33.9652	0.00490525	-0.00552974	0.00274051	-0.0040683	0.0384236
36.1937	0.00470056	-0.00500458	0.00277576	-0.00379347	0.0393603
