theta	r	Dr	x	z	weight
38.4748	0.00451111	-0.00452121	0.00280668	-0.00353167	0.0402586
40.8063	0.00433632	-0.00407814	0.0028338	-0.00328226	0.0411175
43.1858	0.00417552	-0.00367306	0.00285758	-0.00304453	0.0419363
45.611	0.00402801	-0.00330325	0.00287845	-0.0028177	0.0427141
48.0797	0.00389309	-0.00296577	0.00289675	-0.00260096	0.0434501
50.5892	0.00377006	-0.00265762	0.0029128	-0.00239352	0.0441437
53.1373	0.00365824	-0.00237588	0.00292687	-0.00219457	0.0447942
55.7214	0.003557	-0.00211772	0.00293918	-0.00200336	0.0454009
58.339	0.00346576	-0.00188052	0.00294994	-0.00181915	0.0459632
60.9876	0.00338396	-0.00166181	0.00295932	-0.00164122	0.0464806
63.6645	0.00331111	-0.00145932	0.00296746	-0.0014689	0.0469526
66.3671	0.00324678	-0.00127094	0.00297448	-0.00130156	0.0473788
69.0928	0.00319056	-0.00109475	0.00298049	-0.00113857	0.0477586
71.8389	0.00314211	-0.000928948	0.00298558	-0.000979362	0.0480918
74.6028	0.00310112	-0.000771896	0.00298981	-0.000823375	0.048378
77.3817	0.00306734	-0.000622055	0.00299326	-0.000670075	0.0486169
80.173	0.00304057	-0.000477984	0.00299596	-0.000518947	0.0488083
82.9738	0.00302064	-0.00033832	0.00299795	-0.000369492	0.048952
85.7815	0.00300741	-0.000201761	0.00299927	-0.000221223	0.0490479
88.5934	0.00300082	-6.70496e-05	0.00299992	-7.36627e-05	0.0490959
91.4066	0.00300082	6.70496e-05	0.00299992	7.36627e-05	0.0490959
94.2185	0.00300741	0.000201761	0.00299927	0.000221223	0.0490479
97.0262	0.00302064	0.00033832	0.00299795	0.000369492	0.048952
99.827	0.00304057	0.000477984	0.00299596	0.000518947	0.0488083
102.618	0.00306734	0.000622055	0.00299326	0.000670075	0.0486169
105.397	0.00310112	0.000771896	0.00298981	0.000823375	0.048378
108.161	0.00314211	0.000928948	0.00298558	0.000979362	0.0480918
110.907	0.00319056	0.00109475	0.00298049	0.00113857	0.0477586
113.633	0.00324678	0.00127094	0.00297448	0.00130156	0.0473788
116.336	0.00331111	0.00145932	0.00296746	0.0014689	0.0469526
119.012	0.00338396	0.00166181	0.00295932	0.00164122	0.0464806
121.661	0.00346576	0.00188052	0.00294994	0.00181915	0.0459632
124.279	0.003557	0.00211772	0.00293918	0.00200336	0.0454009
126.863	0.00365824	0.00237588	0.00292687	0.00219457	0.0447942
129.411	0.00377006	0.00265762	0.0029128	0.00239352	0.0441437
131.92	0.00389309	0.00296577	0.00289675	0.00260096	0.0434501
134.389	0.00402801	0.00330325	0.00287845	0.0028177	0.0427141
136.814	0.00417552	0.00367306	0.00285758	0.00304453	0.0419363
139.194	0.00433632	0.00407814	0.0028338	0.00328226	0.0411175
141.525	0.00451111	0.00452121	0.00280668	0.00353167	0.0402586
143.806	0.00470056	0.00500458	0.00277576	0.00379347	0.0393603
146.035	0.00490525	0.00552974	0.00274051	0.0040683	0.0384236
148.209	0.00512563	0.00609697	0.00270033	0.00435664	0.0374493
150.325	0.00536195	0.00670473	0.00265455	0.00465874	0.0364384
152.383	0.00561418	0.00734895	0.00260247	0.00497456	0.035392
154.38	0.00588193	0.00802218	0.00254331	0.00530365	0.0343109
156.315	0.00616429	0.00871266	0.00247629	0.00564504	0.0331963
158.184	0.00645977	0.00940346	0.00240065	0.00599713	0.0320493
159.987	0.00676618	0.0100719	0.00231567	0.00635758	0.030871
161.721	0.00708049	0.0106892	0.00222078	0.00672321	0.0296625
163.385	0.0073989	0.0112215	0.00211563	0.00708998	0.028425
164.978	0.00771678	0.0116315	0.00200017	0.00745305	0.0271598
166.497	0.00802888	0.0118816	0.00187474	0.00780694	0.025868
167.941	0.00832958	0.0119384	0.00174016	0.00814578	0.024551
169.31	0.00861324	0.0117772	0.00159776	0.00846375	0.0232099
170.601	0.00887466	0.0113871	0.00144938	0.00875551	0.0218462
171.813	0.00910952	0.010774	0.00129729	0.00901668	0.0204611
172.945	0.00931478	0.009961	0.00114409	0.00924426	0.019056
173.996	0.00948891	0.00898638	0.000992526	0.00943686	0.0176324
174.965	0.00963196	0.00789913	0.000845337	0.00959479	0.0161915
175.851	0.00974543	0.006753	0.000705074	0.00971989	0.0147347
176.653	0.00983203	0.00560072	0.000573984	0.00981526	0.0132636
177.371	0.00989528	0.00448939	0.000453931	0.00988486	0.0117795
178.003	0.00993916	0.00345769	0.000346379	0.00993312	0.0102839
178.549	0.00996774	0.00253486	0.000252407	0.00996454	0.00877828
179.009	0.0099849	0.00174129	0.000172763	0.0099834	0.00726407
179.381	0.00999411	0.00108992	0.000107928	0.00999353	0.00574277
179.667	0.00999829	0.00058811	5.81856e-05	0.00999812	0.0042159
179.864	0.00999972	0.000239495	2.36877e-05	0.00999969	0.00268511
179.974	0.00999999	4.54672e-05	4.49676e-06	0.00999999	0.00115396
180.026	0.00999999	-4.54672e-05	-4.49676e-06	0.00999999	0.00115396
180.136	0.00999972	-0.000239495	-2.36877e-05	0.00999969	0.00268511
180.333	0.00999829	-0.00058811	-5.81856e-05	0.00999812	0.0042159
180.619	0.00999411	-0.00108992	-0.000107928	0.00999353	0.00574277
180.991	0.0099849	-0.00174129	-0.000172763	0.0099834	0.00726407
181.451	0.00996774	-0.00253486	-0.000252407	0.00996454	0.00877828
181.997	0.00993916	-0.00345769	-0.000346379	0.00993312	0.0102839
182.629	0.00989528	-0.00448939	-0.000453931	0.00988486	0.0117795
183.347	0.00983203	-0.00560072	-0.000573984	0.00981526	0.0132636
184.149	0.00974543	-0.006753	-0.000705074	0.00971989	0.0147347
185.035	0.00963196	-0.00789913	-0.000845337	0.00959479	0.0161915
186.004	0.00948891	-0.00898638	-0.000992526	0.00943686	0.0176324
187.055	0.00931478	-0.009961	-0.00114409	0.00924426	0.019056
188.187	0.00910952	-0.010774	-0.00129729	0.00901668	0.0204611
189.399	0.00887466	-0.0113871	-0.00144938	0.00875551	0.0218462
190.69	0.00861324	-0.0117772	-0.00159776	0.00846375	0.0232099
192.059	0.00832958	-0.0119384	-0.00174016	0.00814578	0.024551
193.503	0.00802888	-0.0118816	-0.00187474	0.00780694	0.025868
195.022	0.00771678	-0.0116315	-0.00200017	0.00745305	0.0271598
196.615	0.0073989	-0.0112215	-0.00211563	0.00708998	0.028425
198.279	0.00708049	-0.0106892	-0.00222078	0.00672321	0.0296625
200.013	0.00676618	-0.0100719	-0.00231567	0.00635758	0.030871
201.816	0.00645977	-0.00940346	-0.00240065	0.00599713	0.0320493
203.685	0.00616429	-0.00871266	-0.00247629	0.00564504	0.0331963
205.62	0.00588193	-0.00802218	-0.00254331	0.00530365	0.0343109
207.617	0.00561418	-0.00734895	-0.00260247	0.00497456	0.035392
209.675	0.00536195	-0.00670473	-0.00265455	0.00465874	0.0364384
211.791	0.00512563	-0.00609697	-0.00270033	0.00435664	0.0374493
213.965	0.00490525	-0.00552974	-0.00274051	0.0040683	0.0384236
216.194	0.00470056	-0.00500458	-0.00277576	0.00379347	0.0393603
218.475	0.00451111	-0.00452121	-0.00280668	0.00353167	0.0402586
220.806	0.00433632	-0.00407814	-0.0028338	0.00328226	0.0411175
223.186	0.00417552	-0.00367306	-0.00285758	0.00304453	0.0419363
225.611	0.00402801	-0.00330325	-0.00287845	0.0028177	0.0427141
228.08	0.00389309	-0.00296577	-0.00289675	0.00260096	0.0434501
230.589	0.00377006	-0.00265762	-0.0029128	0.00239352	0.0441437
233.137	0.00365824	-0.00237588	-0.00292687	0.00219457	0.0447942
235.721	0.003557	-0.00211772	-0.00293918	0.00200336	0.0454009
238.339	0.00346576	-0.00188052	-0.00294994	0.00181915	0.0459632
240.988	0.00338396	-0.00166181	-0.00295932	0.00164122	0.0464806
243.664	0.00331111	-0.00145932	-0.00296746	0.0014689	0.0469526
246.367	0.00324678	-0.00127094	-0.00297448	0.00130156	0.0473788
249.093	0.00319056	-0.00109475	-0.00298049	0.00113857	0.0477586
251.839	0.00314211	-0.000928948	-0.00298558	0.000979362	0.0480918
254.603	0.00310112	-0.000771896	-0.00298981	0.000823375	0.048378
257.382	0.00306734	-0.000622055	-0.00299326	0.000670075	0.0486169
260.173	0.00304057	-0.000477984	-0.00299596	0.000518947	0.0488083
262.974	0.00302064	-0.00033832	-0.00299795	0.000369492	0.048952
265.782	0.00300741	-0.000201761	-0.00299927	0.000221223	0.0490479
268.593	0.00300082	-6.70496e-05	-0.00299992	7.36627e-05	0.0490959
271.407	0.00300082	6.70496e-05	-0.00299992	-7.36627e-05	0.0490959
274.218	0.00300741	0.000201761	-0.00299927	-0.000221223	0.0490479
277.026	0.00302064	0.00033832	-0.00299795	-0.000369492	0.048952
279.827	0.00304057	0.000477984	-0.00299596	-0.000518947	0.0488083
282.618	0.00306734	0.000622055	-0.00299326	-0.000670075	0.0486169
285.397	0.00310112	0.000771896	-0.00298981	-0.000823375	0.048378
288.161	0.00314211	0.000928948	-0.00298558	-0.000979362	0.0480918
290.907	0.00319056	0.00109475	-0.00298049	-0.00113857	0.0477586
293.633	0.00324678	0.00127094	-0.00297448	-0.00130156	0.0473788
296.336	0.00331111	0.00145932	-0.00296746	-0.0014689	0.0469526
299.012	0.00338396	0.00166181	-0.00295932	-0.00164122	0.0464806
301.661	0.00346576	0.00188052	-0.00294994	-0.00181915	0.0459632
304.279	0.003557	0.00211772	-0.00293918	-0.00200336	0.0454009
306.863	0.00365824	0.00237588	-0.00292687	-0.00219457	0.0447942
309.411	0.00377006	0.00265762	-0.0029128	-0.00239352	0.0441437
311.92	0.00389309	0.00296577	-0.00289675	-0.00260096	0.0434501
314.389	0.00402801	0.00330325	-0.00287845	-0.0028177	0.0427141
316.814	0.00417552	0.00367306	-0.00285758	-0.00304453	0.0419363
319.194	0.00433632	0.00407814	-0.0028338	-0.00328226	0.0411175
321.525	0.00451111	0.00452121	-0.00280668	-0.00353167	0.0402586
323.806	0.00470056	0.00500458	-0.00277576	-0.00379347	0.0393603
326.035	0.00490525	0.00552974	-0.00274051	-0.0040683	0.0384236
328.209	0.00512563	0.00609697	-0.00270033	-0.00435664	0.0374493
330.325	0.00536195	0.00670473	-0.00265455	-0.00465874	0.0364384
332.383	0.00561418	0.00734895	-0.00260247	-0.00497456	0.035392
334.38	0.00588193	0.00802218	-0.00254331	-0.00530365	0.0343109
336.315	0.00616429	0.00871266	-0.00247629	-0.00564504	0.0331963
338.184	0.00645977	0.00940346	-0.00240065	-0.00599713	0.0320493
339.987	0.00676618	0.0100719	-0.00231567	-0.00635758	0.030871
341.721	0.00708049	0.0106892	-0.00222078	-0.00672321	0.0296625
343.385	0.0073989	0.0112215	-0.00211563	-0.00708998	0.028425
344.978	0.00771678	0.0116315	-0.00200017	-0.00745305	0.0271598
346.497	0.00802888	0.0118816	-0.00187474	-0.00780694	0.025868
347.941	0.00832958	0.0119384	-0.00174016	-0.00814578	0.024551
349.31	0.00861324	0.0117772	-0.00159776	-0.00846375	0.0232099
350.601	0.00887466	0.0113871	-0.00144938	-0.00875551	0.0218462
351.813	0.00910952	0.010774	-0.00129729	-0.00901668	0.0204611
352.945	0.00931478	0.009961	-0.00114409	-0.00924426	0.019056
353.996	0.00948891	0.00898638	-0.000992526	-0.00943686	0.0176324
354.965	0.00963196	0.00789913	-0.000845337	-0.00959479	0.0161915
355.851	0.00974543	0.006753	-0.000705074	-0.00971989	0.0147347
356.653	0.00983203	0.00560072	-0.000573984	-0.00981526	0.0132636
357.371	0.00989528	0.00448939	-0.000453931	-0.00988486	0.0117795
358.003	0.00993916	0.00345769	-0.000346379	-0.00993312	0.0102839
358.549	0.00996774	0.00253486	-0.000252407	-0.00996454	0.00877828
359.009	0.0099849	0.00174129	-0.000172763	-0.0099834	0.00726407
359.381	0.00999411	0.00108992	-0.000107928	-0.00999353	0.00574277
359.667	0.00999829	0.00058811	-5.81856e-05	-0.00999812	0.0042159
359.864	0.00999972	0.000239495	-2.36877e-05	-0.00999969	0.00268511
359.974	0.00999999	4.54672e-05	-4.49676e-06	-0.00999999	0.00115396
